ARGUMENT,TYPE
"Having regard to the nature of the crime, the role attributed to the accused / applicant, the age of the applicant and the period for which he is behind bar, I find that no further purpose would be served by keeping accused / applicant behind bar.",PREMISE
"So far as apprehension expressed by the prosecution that the applicant / accused may tamper with the prosecution evidence, that possibility is very less as the informant is the police head constable.",PREMISE
"Considering the material on record, I pass the following order.",CONCLUSION
"2] Informant Rekha Baliram Ovhal has alleged that, on 23/12/2018 at about 19.30 hours her nephew Akshay intimated her that, Applicants had abused and beaten him without any reason.",PREMISE
"Therefore, Informant went to Applicants for seeking clarification.",PREMISE
"That time, Applicants started abusing and beating her by a Baboo stick.",PREMISE
"That time, her son Soham and nephew Akshay tried to release the quarrel.",PREMISE
Applicants beaten them also.,PREMISE
"It is alleged that, due to this assault, Informant received injuries on head, chest and left hand.",PREMISE
Applicants pulled her Saree.,PREMISE
"Therefore, Applicants outraged her modestly also.",CONCLUSION
"In the same incident, son of Informant Soham and nephew Akshya also received injuries on head.",PREMISE
"Then, they were carried to Sassoon Hospital and she lodged the report.",PREMISE
"3] Applicants submit that, no such incident had happned.",PREMISE
"In fact, there was some hot exchange of words.",PREMISE
"Later on, the matter was resolved amicably.",PREMISE
"But, by abundant precaution, Applicants reported about non cognizable offence in police station against Informant stating that, she may file complaint against them.",PREMISE
"As such, Applicants submit that, present FIR has been filed just to take revenge against them.",PREMISE
They are behind the bars since 31/12/2018.,PREMISE
Further custody of the Applicants is not necessary.,PREMISE
"Hence, they pray for grant of bail.",CONCLUSION
4] Learned APP Mr. Satpute appeared for Respondent/State and filed report of investigation officer.,PREMISE
"He submits that, sufficient prima facie material is available against Applicants.",PREMISE
Investigation is in progress.,PREMISE
There are criminal antecedents.,PREMISE
"Therefor, the application may be rejected.",CONCLUSION
5] Heard the learned Adv. Adhav for Applicants and the learned APP Mr. Satpute for Respondent/State.,PREMISE
Perused the Papers.,PREMISE
"6] Prima facie, Informant has clearly narrated the role of each accused/applicant.",PREMISE
"I perused the injury certificates/MLC of Informant, her son Soham and nephew Akshay.",PREMISE
All of them have received injuries on 23/12/2018.,PREMISE
"Therefore, prima facie material available against Applicants.",CONCLUSION
Investigation is in progress.,PREMISE
There are chances of tampering.,PREMISE
"Therefore, at this stage, discretion cannot be used.",CONCLUSION
"Hence, I prefer to pass following order.",CONCLUSION
The learned Counsel for the applicant has submitted that the applicant has no role to play in alleged offences.,PREMISE
"Also, the offence complained of could not establish from an FIR, since on 30.12.2018 one NC against the applicant was lodged, and thereafter afterthought present FIR came to be lodged, over professional rivalry.",PREMISE
"On going through copy of FIR, it is evident that there was commercial transaction between the informant and the accused.",PREMISE
The son of former on personal grounds Internet service from 28.12.2018 was assigned to Samrat Business Group.,PREMISE
"Consequently, the applicant has ­ disconnected his wires from Server and took them away.",PREMISE
"However, it was taken otherwise than commercial dispute.",PREMISE
"In view of above, apprehension in the mind of applicant seems to be reasonable, warranting ad­interim protection, until hearing of exh.1.",PREMISE
"Hence, the order :",CONCLUSION
It is alleged that mother of victim aged about 16 years lodged report of her missing and against applicant.,PREMISE
"During investigation and after recording statement of victim, it revealed that victim and applicant were acquainted with each other.",PREMISE
There was love affair between them.,PREMISE
They were meeting each other and talking with each other.,PREMISE
Applicant promised to marry with her.,PREMISE
On 07.12.2018 mother of victim doubted on her and she gave evasive answers to her.,PREMISE
She then narrated incident to applicant and applicant asked her to run away with him for marrying.,PREMISE
"They went to Pandhari, Tal­Ashti and then returned to Bhigwan, Pune.",PREMISE
Then they started residing in room of Mahesh Nikam where applicant committed sexual intercourse with her.,PREMISE
3] According to applicant he is falsely implicated in this matter.,PREMISE
It is a case of love affair.,PREMISE
Victim is more than 16 years old.,PREMISE
Applicant never forced her.,PREMISE
She resided with applicant for one month.,PREMISE
Investigation is practically over.,PREMISE
Applicant is 20 years old and doing job .,PREMISE
"He is permanently residing at Ashti, Dist­Ahmednagar.",PREMISE
He has no criminal antecedents.,PREMISE
He is ready to abide the conditions.,PREMISE
"Hence, he prayed to release him on bail.",CONCLUSION
4] APP and I.O. objected this application on the ground that investigation is in progress.,PREMISE
Applicant will pressurize victim and witnesses.,PREMISE
There is possibility of tampering prosecution evidence.,PREMISE
Victim is 15 years 10 months old and she was kidnapped and induced by applicant.,PREMISE
Applicant will repeat offence.,PREMISE
"So, they prayed to reject the application.",CONCLUSION
Applicant is sufficiently interrogated.,PREMISE
From statement of victim role attributed to applicant can be gathered.,PREMISE
"It revealed that due to love affair victim and applicant went away at Pandhari, Tal­Ashti, Dist­Beed and Bhigwan, Pune, resided in a room of Mahesh Nikam.",PREMISE
Victim is about 16 years old and applicant is 20 years old .,PREMISE
Victim has attended age of sufficient maturity and knows the consequences of the act.,PREMISE
"1712, in which it is observed that if statement of prosecutrix and witnesses shows that they were in love relationship with each other they eloped and went to temple and performed marriage, they started residing together in the house of relative then there are mitigating circumstances.",PREMISE
